castTotalLikes,directorLikes,actor1likes,criticReviews,fbPosters,duration,actor3likes,actor2,userReviews,gross,actor1,title,userVotes,language,country,contentRating,budget,year,actor2Likes,rating,aspectRatio,movieLikes,genre,subgenre
36010,278,22000,241,2,121,808,Anne Hathaway,304,75274748,Robert De Niro,The Intern ,130661,English,USA,PG-13,35000000,2015,11000,7.2,1.85,54000,Comedy,Drama
5178,167,2000,119,0,102,655,Nadine Velazquez,58,90835030,Olivia Munn,Ride Along 2 ,28621,English,USA,PG-13,40000000,2016,874,5.9,2.35,0,Action,Comedy
2144,0,855,89,1,117,322,Terry Kinney,382,72455275,Wes Studi,The Last of the Mohicans ,113068,English,USA,R,40000000,1992,363,7.8,2.35,0,Action,Adventure
5074,138,904,209,0,178,748,Curtis Armstrong,433,75305995,Bokeem Woodbine,Ray ,110394,English,USA,PG-13,40000000,2004,876,7.7,1.85,0,Biography,Drama
3924,436,3000,374,1,147,175,Powers Boothe,1732,74098862,Rosario Dawson,Sin City ,656640,English,USA,R,40000000,2005,472,8.1,1.85,13000,Crime,Thriller
6775,38,2000,235,4,90,882,Edgar Ramírez,422,72266306,Dennis Quaid,Vantage Point ,127528,English,USA,PG-13,40000000,2008,897,6.6,2.35,0,Crime,Drama
28928,29,24000,215,2,105,257,Jon Favreau,215,71347010,J.K. Simmons,"I Love You, Man ",166194,English,USA,R,40000000,2009,4000,7.1,1.85,0,Comedy,Romance
2842,101,700,109,2,114,398,Bruce McGill,426,70836296,Jason Alexander,Shallow Hal ,109445,English,USA,PG-13,40000000,2001,655,5.9,1.85,0,Comedy,Drama
698,0,433,125,1,206,4,Jay O. Sanders,442,70405498,Sally Kirkland,JFK ,113472,English,France,R,40000000,1991,256,8,2.35,0,Drama,History
19334,14,17000,65,0,99,633,Nia Long,82,70163652,Chloë Grace Moretz,Big Momma's House 2 ,31968,English,USA,PG-13,40000000,2006,826,4.6,1.85,663,Comedy,Crime
43917,563,24000,125,0,123,8000,Brad Pitt,344,66808615,J.K. Simmons,The Mexican ,87351,English,USA,R,34000000,2001,11000,6.1,2.35,2000,Adventure,Comedy
2938,11000,769,322,0,137,465,Jack O'Connell,351,115603980,Finn Wittrock,Unbroken ,103589,English,USA,PG-13,65000000,2014,698,7.2,2.35,35000,Biography,Drama
7009,23,2000,191,1,102,651,Hunter Parrish,185,64149837,Matthew Perry,17 Again ,146899,English,USA,PG-13,20000000,2009,2000,6.4,2.35,0,Comedy,Drama
2357,415,982,191,2,109,119,Kate Upton,189,83906114,Don Johnson,The Other Woman ,104481,English,USA,PG-13,40000000,2014,971,6,2.35,16000,Comedy,Romance
303717,160,164000,221,0,82,748,Andrew Fiscella,290,66466372,Krista Allen,The Final Destination ,75345,English,USA,R,40000000,2009,137000,5.2,2.35,0,Horror,
16944,14000,15000,459,0,142,423,Mark Rylance,355,72306065,Tom Hanks,Bridge of Spies ,178118,English,USA,PG-13,40000000,2015,535,7.6,2.35,55000,Drama,History
2544,212,578,131,2,106,389,David Keith,411,59068786,Joaquim de Almeida,Behind Enemy Lines ,86902,English,USA,PG-13,40000000,2001,563,6.4,2.35,0,Action,Drama
2091,89,836,222,2,114,177,Mario Lopez,197,60923325,Pink,Get Him to the Greek ,147317,English,USA,R,,2010,719,6.4,1.85,12000,Comedy,Music
2325,23,1000,118,2,106,418,Nick Cannon,211,57887882,Lisa Ann Walter,Shall We Dance ,35508,English,USA,PG-13,50000000,2004,593,6.1,1.85,0,Comedy,Drama
8610,287,4000,100,0,108,823,Denis Leary,139,53955614,Kirsten Dunst,Small Soldiers ,77415,English,USA,PG-13,40000000,1998,835,6.1,2.35,0,Action,Adventure
7039,20,2000,70,0,98,968,Frank Welker,209,54967359,Michael Jai White,Spawn ,52805,English,USA,R,40000000,1997,2000,5.2,1.85,0,Action,Horror
17152,58,15000,138,1,131,720,James Frain,544,54228104,Henry Cavill,The Count of Monte Cristo ,104991,English,UK,PG-13,35000000,2002,1000,7.7,1.85,0,Action,Adventure
13943,65,11000,274,1,118,638,Margarita Levieva,203,57981889,Matthew McConaughey,The Lincoln Lawyer ,173848,English,USA,R,40000000,2011,980,7.3,2.35,25000,Crime,Drama
17152,174,14000,349,3,113,767,Frank Langella,332,61094903,Liam Neeson,Unknown ,210542,English,UK,PG-13,30000000,2011,903,6.9,2.35,29000,Action,Mystery
63986,22000,23000,341,1,130,19000,Hugh Jackman,1100,53082743,Christian Bale,The Prestige ,844052,English,USA,PG-13,40000000,2006,20000,8.5,2.35,49000,Drama,Mystery
30571,51,18000,196,7,116,465,Christoph Waltz,187,54414716,Kevin Spacey,Horrible Bosses 2 ,114294,English,USA,R,42000000,2014,11000,6.3,2.35,12000,Comedy,Crime
3361,7,3000,83,2,89,91,Paul Scheer,44,57011847,Brendan Fraser,Escape from Planet Earth ,20615,English,USA,PG,40000000,2013,190,5.9,2.35,0,Adventure,Animation
848,0,708,283,0,139,19,Dalia Hernández,1043,50859889,Rudy Youngblood,Apocalypto ,236000,Maya,USA,R,40000000,2006,78,7.8,1.85,14000,Action,Adventure
1233,46,387,105,1,130,162,Desmond Llewelyn,271,51185897,Joe Don Baker,The Living Daylights ,69457,English,UK,PG,30000000,1987,244,6.7,2.35,0,Action,Adventure
4243,190,2000,351,0,107,520,Alice Braga,619,52000688,Topher Grace,Predators ,171418,English,USA,R,40000000,2010,1000,6.4,2.35,17000,Action,Adventure
2179,425,954,16,3,116,204,Debra Winger,34,49851591,Brian Dennehy,Legal Eagles ,7900,English,USA,PG,40000000,1986,568,5.9,2.35,263,Comedy,Crime
41293,192,40000,195,1,96,501,Charles S. Dutton,531,47781388,Johnny Depp,Secret Window ,147504,English,USA,PG-13,40000000,2004,534,6.6,2.35,0,Mystery,Thriller
18693,18,18000,175,0,99,211,Dylan Walsh,548,52320979,Keanu Reeves,The Lake House ,114321,English,USA,PG,40000000,2006,426,6.8,2.35,0,Drama,Fantasy
1274,34,545,193,0,104,280,Deneen Tyler,371,47806295,Gena Rowlands,The Skeleton Key ,87447,English,USA,PG-13,43000000,2005,351,6.5,2.35,0,Horror,Mystery
9069,54,3000,169,0,105,988,Odeya Rush,110,51853450,Jennifer Garner,The Odd Life of Timothy Green ,37398,English,USA,PG,25000000,2012,2000,6.6,1.85,11000,Comedy,Drama
4298,10,1000,128,2,101,681,Beau Garrett,101,46012734,Busy Philipps,Made of Honor ,54421,English,USA,PG-13,40000000,2008,689,5.8,2.35,3000,Comedy,Romance
2281,16000,880,249,1,134,235,Steve Schirripa,190,47034272,Johnny Cannizzaro,Jersey Boys ,25465,English,USA,R,40000000,2014,413,6.9,2.35,16000,Biography,Drama
16762,0,13000,91,1,135,913,Dean Stockwell,141,45856732,Matt Damon,The Rainmaker ,46221,English,USA,PG-13,40000000,1997,936,7.1,2.35,0,Crime,Drama
22318,326,21000,207,1,98,416,Charles S. Dutton,376,59588068,Robert Downey Jr.,Gothika ,89557,English,USA,R,40000000,2003,534,5.8,1.85,0,Horror,Mystery
37570,14000,12000,77,2,155,11000,Morgan Freeman,227,44175394,Anthony Hopkins,Amistad ,56509,English,USA,R,36000000,1997,11000,7.2,1.85,0,Drama,History
519,323,472,25,2,106,0,José Wilker,56,45500797,Lorraine Bracco,Medicine Man ,17443,English,USA,PG-13,40000000,1992,47,6,2.35,694,Adventure,Drama
4324,25,1000,211,0,102,473,Johnny Lewis,998,41797066,Sam Trammell,Aliens vs. Predator: Requiem ,92789,English,USA,R,40000000,2007,741,4.7,2.35,0,Action,Horror
4634,80,3000,19,1,95,287,John Larroquette,39,38087756,Macaulay Culkin,Ri¢hie Ri¢h ,49612,English,USA,PG,40000000,1994,450,5.2,1.85,0,Comedy,Family
26938,643,24000,101,2,103,586,Sam Trammell,180,37752931,J.K. Simmons,Autumn in New York ,20201,English,USA,PG-13,40000000,2000,1000,5.5,1.85,0,Drama,Romance
2787,30,799,175,4,95,664,Scott Porter,291,50562555,Brad Garrett,Music and Lyrics ,81334,English,USA,PG-13,,2007,690,6.5,1.85,0,Comedy,Music
390,99,176,342,0,109,57,Nelson Ascencio,334,37371385,Bobby Lee,Paul ,192462,English,USA,R,40000000,2011,61,7,2.35,42000,Adventure,Comedy
1070,98,405,147,1,95,78,Tom Virtue,103,37101011,Miriam Margolyes,The Guilt Trip ,30394,English,USA,PG-13,40000000,2012,358,5.8,2.35,0,Comedy,Drama
4486,0,2000,420,0,111,687,Aimee Teegarden,518,38176892,Alison Brie,Scream 4 ,104119,English,USA,R,40000000,2011,741,6.2,2.35,26000,Horror,Mystery
12970,541,12000,138,1,123,173,Chris Bauer,587,36283504,Nicolas Cage,8MM ,104564,English,Germany,R,40000000,1999,638,6.5,2.35,0,Mystery,Thriller
3044,0,720,82,1,140,552,Kevin Dillon,209,35183792,Michael Wincott,The Doors ,68159,English,USA,R,38000000,1991,576,7.2,2.35,0,Biography,Drama
1488,52,683,201,2,94,214,Randall Park,158,38543473,James Wilcox,Sex Tape ,84382,English,USA,R,40000000,2014,392,5.1,1.85,0,Comedy,
1238,0,374,82,3,94,235,Celia Weston,130,36037909,Adam Arkin,Hanging Up ,10132,English,Germany,PG-13,60000000,2000,258,4.7,1.85,390,Comedy,Drama
3074,77,703,277,0,92,495,Jacqueline MacInnes Wood,227,42575718,Emma Bell,Final Destination 5 ,83788,English,USA,R,40000000,2011,682,5.9,2.35,20000,Horror,
2913,6,711,90,1,102,584,Burt Young,117,33864342,Jeanne Tripplehorn,Mickey Blue Eyes ,29968,English,UK,PG-13,40000000,1999,683,5.8,1.85,445,Comedy,Crime
23920,75,18000,157,2,123,754,Haley Joel Osment,660,33508922,Kevin Spacey,Pay It Forward ,95860,English,USA,PG-13,40000000,2000,3000,7.2,1.85,16000,Drama,
1827,101,787,124,1,104,223,KaDee Strickland,208,42071069,Jimmy Fallon,Fever Pitch ,36223,English,USA,PG-13,30000000,2005,299,6.2,2.35,0,Comedy,Drama
108,,51,3,0,30,12,Melissa Altro,43,,Bruce Dinsmore,Arthur             ,8495,English,Canada,TV-Y,,,21,7.4,1.33,301,Animation,Comedy
3239,65,1000,146,1,102,490,Shaun Weiss,101,32853640,Lisa Ann Walter,Drillbit Taylor ,50199,English,USA,PG-13,40000000,2008,613,5.7,2.35,702,Comedy,Drama
28927,3000,14000,303,3,136,3000,Charlize Theron,416,42615685,Liam Neeson,A Million Ways to Die in the West ,136093,English,USA,R,40000000,2014,9000,6.1,2.35,24000,Comedy,Western
2711,85,924,70,0,93,510,Peter Boyle,146,32055248,Jonathan Winters,The Shadow ,18723,English,USA,PG-13,25000000,1994,595,6,1.85,0,Action,Adventure
15595,335,15000,283,1,129,64,Thomas Horn,341,31836745,Tom Hanks,Extremely Loud & Incredibly Close ,81298,English,USA,PG-13,40000000,2011,467,6.9,2.35,39000,Adventure,Drama
621,50,293,212,0,107,58,Patti D'Arbanville,156,30993544,Noah Bean,Morning Glory ,58871,English,USA,PG-13,40000000,2010,117,6.5,2.35,0,Comedy,Drama
3969,260,1000,98,0,117,441,Bill Duke,284,30981850,50 Cent,Get Rich or Die Tryin' ,35834,English,USA,R,40000000,2005,1000,5,2.35,0,Biography,Crime
3753,18,2000,110,0,116,249,Cary-Hiroyuki Tagawa,167,30199105,Michael Biehn,The Art of War ,25346,English,USA,R,40000000,2000,1000,5.7,2.35,470,Action,Adventure
5917,0,3000,146,1,135,715,David Fine,754,29077547,Rosario Dawson,Rent ,41685,English,USA,PG-13,40000000,2005,1000,7,2.35,3000,Drama,Musical
4565,55,3000,100,0,107,294,Jimmy Smits,188,29374178,Rufus Sewell,Bless the Child ,12093,English,USA,R,40000000,2000,941,5.1,2.35,394,Crime,Drama
1335,39,607,62,2,90,210,Valerie Perri,105,28535768,Oliver Hudson,The Out-of-Towners ,10446,English,USA,PG-13,40000000,1999,322,5.3,1.85,279,Comedy,
10469,287,10000,70,2,99,44,Temuera Morrison,164,27663982,Marlon Brando,The Island of Dr. Moreau ,26051,English,USA,PG-13,40000000,1996,368,4.4,2.35,0,Horror,Sci-Fi
2888,0,964,107,0,104,327,Justin Chambers,291,27053815,Catherine Deneuve,The Musketeer ,12856,English,Germany,PG-13,40000000,2001,931,4.7,2.35,299,Action,Adventure
77823,56,20000,169,3,115,19000,Scarlett Johansson,252,26814957,Natalie Portman,The Other Boleyn Girl ,84357,English,UK,PG-13,35000000,2008,19000,6.7,1.85,0,Biography,Drama
29484,7,18000,94,1,119,903,Charlize Theron,274,25178165,Keanu Reeves,Sweet November ,70292,English,USA,PG-13,40000000,2001,9000,6.7,1.85,8000,Drama,Romance
960,81,327,190,0,99,135,Andrea Frankle,178,25117498,Stephen Rea,The Reaping ,37412,English,USA,R,40000000,2007,253,5.7,2.35,0,Horror,Thriller
23737,17000,22000,112,0,112,354,David Carradine,223,32645,Robert De Niro,Mean Streets ,67797,English,USA,R,500000,1973,926,7.4,1.85,0,Crime,Drama
3126,545,783,12,1,128,353,Cliff Robertson,61,24332324,Ed Begley Jr.,Renaissance Man ,13830,English,USA,PG-13,40000000,1994,754,6.1,1.85,680,Comedy,Drama
3432,118,877,201,0,112,674,Callum Blue,203,36665854,Jordi Mollà,Colombiana ,76498,English,France,PG-13,40000000,2011,738,6.4,2.35,15000,Action,Crime
14275,7,10000,34,0,86,795,Jaleel White,67,22717758,Gary Oldman,The Magic Sword: Quest for Camelot ,11156,English,USA,G,40000000,1998,908,6.2,1.85,0,Adventure,Animation
34377,105,22000,104,1,108,616,James Franco,166,22433915,Robert De Niro,City by the Sea ,21319,English,USA,R,60000000,2002,11000,6.2,2.35,416,Crime,Drama
3821,34,978,55,1,128,685,Nathan Lane,106,22326247,Mira Sorvino,At First Sight ,11232,English,USA,PG-13,60000000,1999,886,5.9,1.85,0,Drama,Romance
5039,33,1000,86,0,84,1000,Jay Hernandez,207,21176322,Dane Cook,Torque ,23747,English,USA,PG-13,40000000,2004,1000,4,2.35,0,Action,Comedy
17877,17,14000,50,2,111,889,Martin Landau,60,20300000,Al Pacino,City Hall ,16741,English,USA,R,40000000,1996,940,6.2,1.85,309,Drama,Thriller
18913,719,16000,181,0,131,683,Elizabeth Berkley,450,20302961,Bobbie Phillips,Showgirls ,49874,English,France,NC-17,45000000,1995,893,4.6,2.35,0,Drama,
7243,0,4000,260,1,123,826,Shirley Henderson,619,15962471,Kirsten Dunst,Marie Antoinette ,79892,English,USA,PG-13,40000000,2006,887,6.4,1.85,0,Biography,Drama
14008,58,12000,40,3,101,497,Michael Rapaport,60,14942422,Nicolas Cage,Kiss of Death ,14226,English,USA,R,40000000,1995,975,5.9,1.85,555,Action,Crime
14463,19,13000,102,1,102,351,Miranda Richardson,284,14967182,Sylvester Stallone,Get Carter ,27305,English,USA,R,40000000,2000,530,5.1,2.35,604,Action,Crime
7099,171,6000,371,0,114,284,Geraldine Chaplin,322,18996755,Naomi Watts,The Impossible ,145270,English,Spain,PG-13,45000000,2012,382,7.6,2.35,54000,Drama,Thriller
3374,124,636,49,2,107,572,Warren Beatty,126,14375181,Carol Kane,Ishtar ,8692,English,USA,PG-13,51000000,1987,631,4.2,1.85,754,Action,Adventure
24770,0,13000,335,0,87,563,Meryl Streep,245,20999103,Bill Murray,Fantastic Mr. Fox ,139114,English,USA,PG,40000000,2009,11000,7.8,1.85,15000,Adventure,Animation
12566,65,11000,86,2,103,311,Stockard Channing,128,14448589,Angelina Jolie Pitt,Life or Something Like It ,19364,English,USA,PG-13,40000000,2002,944,5.8,2.35,835,Comedy,Romance
2125,0,782,40,2,99,402,Michael McKean,66,14358033,Richard Epcar,Memoirs of an Invisible Man ,17365,English,USA,PG-13,40000000,1992,658,5.9,2.35,630,Comedy,Romance
809,0,326,242,0,122,54,Jamel Debbouze,1314,33201661,Mathieu Kassovitz,Amélie ,534262,French,France,R,77000000,2001,326,8.4,2.35,39000,Comedy,Romance
3974,29,976,70,1,91,762,Bob Saget,111,14018364,Mary-Kate Olsen,New York Minute ,17722,English,USA,PG,30000000,2004,799,4.8,1.85,849,Comedy,Crime
3639,14,865,135,4,103,624,Nia Long,146,13395939,Omar Epps,Alfie ,43442,English,UK,R,60000000,2004,826,6.2,1.85,0,Comedy,Drama
1702,42,875,125,3,107,171,Tim Blake Nelson,66,20113965,Ted Danson,Big Miracle ,15231,English,USA,PG,40000000,2012,596,6.5,2.35,0,Biography,Drama
4327,22,2000,54,1,106,613,Treat Williams,111,13376506,Alexa PenaVega,The Deep End of the Ocean ,10413,English,USA,PG-13,40000000,1999,642,6.3,1.85,579,Drama,
4262,37,2000,104,1,101,595,Jeffrey Combs,388,13208023,Natascha McElhone,Feardotcom ,17309,English,UK,R,42000000,2002,886,3.3,2.35,612,Crime,Horror
20503,80,14000,157,3,109,835,Salma Hayek,157,13838130,Josh Hutcherson,Cirque du Freak: The Vampire's Assistant ,35990,English,USA,PG-13,40000000,2009,4000,5.9,2.35,0,Action,Adventure
12876,118,11000,159,2,110,287,Spencer Wilding,91,5773519,Daniel Radcliffe,Victor Frankenstein ,28618,English,USA,PG-13,40000000,2015,1000,6,2.35,11000,Drama,Horror
3096,0,1000,78,0,89,500,Amber Valletta,147,9652000,Justin Theroux,Duplex ,46205,English,USA,PG-13,40000000,2003,627,5.8,1.85,0,Comedy,
4103,92,1000,88,2,100,706,Sean Hayes,25,12081447,Bernie Mac,Soul Men ,7794,English,USA,R,,2008,760,6.5,2.35,866,Comedy,Drama
1883,5,521,32,0,119,249,Jason Robards,70,7000000,M. Emmet Walsh,Raise the Titanic ,2933,English,UK,PG,36000000,1980,372,4.7,2.35,328,Action,Adventure
4024,7,2000,75,0,83,485,Daniel von Bargen,162,10431220,Michael Jai White,Universal Soldier: The Return ,24216,English,USA,R,24000000,1999,577,4.1,1.85,401,Action,Sci-Fi
14127,22,12000,219,0,108,61,Dennis Quaid,310,10326062,Norman Reedus,Pandorum ,121432,English,Germany,R,33000000,2009,2000,6.8,2.35,10000,Action,Horror
2664,39,1000,83,4,102,259,Mekhi Phifer,207,6114237,Gary Dourdan,Impostor ,19986,English,USA,R,40000000,2001,1000,6.2,1.85,892,Drama,Mystery
4123,18,3000,53,0,93,443,Bridgette Wilson-Sampras,82,4835968,Rufus Sewell,Extreme Ops ,4821,English,UK,PG-13,40000000,2002,545,4.5,2.35,158,Action,Adventure
1149,8,545,61,3,84,219,Matt Ross,98,4777007,Bridgette Wilson-Sampras,Just Visiting ,15130,English,France,PG-13,40000000,2001,248,5.8,2.35,565,Comedy,Fantasy
11623,0,11000,308,0,107,167,Benedict Wong,801,3675072,Chris Evans,Sunshine ,190132,English,UK,R,26000000,2007,372,7.3,2.35,15000,Adventure,Sci-Fi
222,48,61,70,8,91,39,Lou Saliba,93,18438149,John Gatins,A Thousand Words ,30842,English,USA,PG-13,40000000,2012,46,5.9,2.35,0,Comedy,Drama
2449,0,795,41,1,94,379,Anne Bancroft,26,511920,Eric Idle,Delgo ,2458,English,USA,PG,40000000,2008,754,4.4,1.85,211,Adventure,Animation
1686,180,1000,224,0,115,87,Mark Rylance,110,10640645,Ray Winstone,The Gunman ,28429,English,USA,R,40000000,2015,535,5.8,2.35,0,Action,Crime
15638,13,15000,66,3,93,173,Sophie Okonedo,187,652526,Alex Pettyfer,Alex Rider: Operation Stormbreaker ,20201,English,Germany,PG,40000000,2006,460,5.1,2.35,823,Action,Adventure
2288,154,884,253,0,105,502,Aaron Yoo,491,80050171,Sarah Roemer,Disturbia ,186982,English,USA,PG-13,20000000,2007,617,6.9,1.85,0,Drama,Mystery
13821,34,11000,79,1,107,472,Fisher Stevens,223,7564000,Angelina Jolie Pitt,Hackers ,54650,English,USA,PG-13,20000000,1995,922,6.2,2.35,12000,Comedy,Crime
504,47,499,94,2,101,2,Zan Marolt,90,876671,James Brolin,The Hunting Party ,22010,English,USA,R,25000000,2007,3,6.9,2.35,0,Adventure,Comedy
2612,0,1000,77,2,111,385,Bill Cobbs,211,2869369,Jennifer Jason Leigh,The Hudsucker Proxy ,65474,English,UK,PG,30000000,1994,970,7.3,1.85,0,Comedy,Fantasy
6267,31,5000,106,2,113,483,Takeshi Kaneshiro,61,128978,Jet Li,The Warlords ,22897,Mandarin,Hong Kong,R,40000000,2007,755,7.1,2.35,0,Action,Drama
2115,44,1000,30,0,112,533,Kuno Becker,32,77231,Jay Hernandez,Nomad: The Warrior ,3322,Kazakh,France,R,25000000,2005,580,6,2.35,265,Drama,History
12286,584,11000,488,5,126,398,Ewen Bremner,514,4563029,Chris Evans,Snowpiercer ,181472,English,South Korea,R,39200000,2013,557,7,1.85,58000,Action,Drama
3243,10,1000,63,0,90,541,Bob Balaban,40,,Adam Goldberg,A Monster in Paris ,15790,French,France,PG,25000000,2011,559,6.8,1.85,0,Adventure,Animation
5240,23,2000,42,10,93,596,Glenn Morshower,39,463730,Matthew Broderick,The Last Shot ,3789,English,USA,R,,2004,894,5.7,1.85,89,Comedy,
2630,295,720,118,0,98,380,Bai Ling,545,50693162,Michael Wincott,The Crow ,136580,English,USA,R,23000000,1994,581,7.6,1.85,15000,Action,Drama
554,50,218,44,1,159,72,Anushka Shetty,410,6498000,Tamannaah Bhatia,Baahubali: The Beginning ,62756,Telugu,India,,18026148,2015,133,8.4,1.85,21000,Action,Adventure
568,124,152,214,1,107,100,Brooklynn Proulx,234,63411478,Arliss Howard,The Time Traveler's Wife ,114925,English,USA,PG-13,39000000,2009,142,7.1,2.35,13000,Drama,Fantasy
1930,36,747,110,1,102,433,Stephen Collins,184,42640890,Colin Ferguson,Because I Said So ,32412,English,USA,PG-13,,2007,452,5.6,1.85,0,Comedy,Romance
45327,357,23000,187,2,106,4000,Vin Diesel,988,144512310,Paul Walker,The Fast and the Furious ,272227,English,USA,PG-13,38000000,2001,14000,6.7,2.35,14000,Action,Crime
4774,13000,940,370,0,87,787,Catherine O'Hara,165,35287788,Martin Landau,Frankenweenie ,73886,English,USA,PG,39000000,2012,925,7,1.85,25000,Animation,Comedy
2853,0,2000,276,0,119,279,Sean Maher,1594,25335935,Adam Baldwin,Serenity ,242599,English,USA,PG-13,40000000,2005,505,8,2.35,14000,Action,Adventure
2972,534,865,76,2,110,511,Charles S. Dutton,50,5881504,Omar Epps,Against the Ropes ,5917,English,USA,PG-13,39000000,2004,534,5.3,2.35,177,Biography,Drama
2329,44,593,95,1,125,420,Robert Vaughn,224,60000000,Margot Kidder,Superman III ,49934,English,UK,PG,39000000,1983,542,4.9,2.35,0,Action,Comedy
36009,88,22000,211,1,113,785,Sylvester Stallone,115,29802761,Robert De Niro,Grudge Match ,46480,English,USA,PG-13,40000000,2013,13000,6.4,1.85,12000,Comedy,Sport
2172,610,755,160,4,150,478,Tony Chiu Wai Leung,105,626809,Takeshi Kaneshiro,Red Cliff ,36894,Mandarin,China,R,553632000,2008,643,7.4,2.35,0,Action,Adventure
4251,72,982,97,1,108,559,Mary Lynn Rajskub,392,127214072,Ethan Embry,Sweet Home Alabama ,83786,English,USA,PG-13,38000000,2002,935,6.1,2.35,0,Comedy,Romance
22436,126,18000,174,2,96,954,John Michael Higgins,169,88915214,Gerard Butler,The Ugly Truth ,163665,English,USA,R,38000000,2009,957,6.5,2.35,9000,Comedy,Romance
2176,36,592,23,2,93,275,Phil Hartman,73,30400000,Austin Pendleton,Sgt. Bilko ,17810,English,USA,PG,39000000,1996,516,5.7,2.35,478,Comedy,
18291,0,12000,103,1,100,1000,Alexa PenaVega,107,85570368,Steve Buscemi,Spy Kids 2: Island of Lost Dreams ,44885,English,USA,PG,38000000,2002,2000,5.1,1.85,478,Action,Adventure
6427,18,1000,98,0,118,906,Alan Ruck,249,75668868,LeVar Burton,Star Trek: Generations ,60504,English,USA,PG,35000000,1994,946,6.6,2.35,0,Action,Adventure
943,0,643,273,1,122,7,Hye-kyo Song,111,6594136,Tony Chiu Wai Leung,The Grandmaster ,24557,Mandarin,Hong Kong,PG-13,38600000,2013,290,6.5,2.35,13000,Action,Biography
36062,508,21000,279,1,120,1000,Christoph Waltz,260,58700247,Robert Pattinson,Water for Elephants ,95367,English,USA,PG-13,38000000,2011,11000,6.9,2.35,33000,Drama,Romance
25160,,23000,22,4,60,501,Wayne Knight,86,,Joseph Gordon-Levitt,3rd Rock from the Sun             ,38383,English,USA,TV-PG,,,967,7.8,1.33,0,Comedy,Family
196,0,76,4,0,88,46,Bianca Collins,18,,Blythe Auffarth,Dragon Nest: Warriors' Dawn ,2169,English,China,,40000000,2014,47,6.4,,0,Adventure,Animation
20516,278,18000,65,0,146,494,Vincent Pastore,265,50668906,Denzel Washington,The Hurricane ,76016,English,USA,R,38000000,1999,584,7.6,1.85,0,Biography,Drama
3770,150,970,98,1,115,789,Jeff Kober,234,39177215,Bill Cobbs,Enough ,30667,English,USA,PG-13,38000000,2002,919,5.6,2.35,0,Crime,Drama
2912,7,931,116,3,123,692,Anne Bancroft,216,40334024,Sarah Silverman,Heartbreakers ,44168,English,USA,PG-13,35000000,2001,754,6.2,2.35,989,Comedy,Crime
3552,99,598,76,1,94,377,Daniella Alonso,123,71038190,D.B. Woodside,Paul Blart: Mall Cop 2 ,23473,English,USA,PG,30000000,2015,557,4.4,1.85,8000,Action,Comedy
1440,43,308,106,0,102,280,Shirley Knight,180,24044532,Sonia Braga,Angel Eyes ,19686,English,USA,R,38000000,2001,285,5.6,1.85,689,Drama,Romance
2765,11,854,55,1,98,466,Ken Marino,85,22770864,Jim Belushi,Joe Somebody ,8433,English,USA,PG,38000000,2001,543,5.5,1.85,168,Comedy,Drama
42344,2000,40000,172,1,133,541,Frank Langella,638,18653746,Johnny Depp,The Ninth Gate ,137722,English,Spain,R,38000000,1999,903,6.7,2.35,0,Mystery,Thriller
24547,150,24000,47,0,118,182,Paul Guilfoyle,75,17305211,J.K. Simmons,Extreme Measures ,14066,English,USA,R,38000000,1996,210,6.1,2.35,352,Crime,Drama
1265,65,628,107,0,105,108,Dagmara Dominczyk,191,16991902,Beth Grant,Rock Star ,34592,English,USA,R,57000000,2001,316,6.2,2.35,0,Drama,Music
3277,304,940,323,0,109,736,Gabourey Sidibe,275,47536959,Mo'Nique,Precious ,86955,English,USA,R,10000000,2009,906,7.3,1.85,12000,Drama,
16237,0,12000,37,4,129,982,Jason Marsden,89,10300000,Jeff Bridges,White Squall ,17859,English,USA,PG-13,38000000,1996,1000,6.6,2.35,911,Adventure,Drama
1757,0,957,297,0,109,145,Richard Masur,911,13782838,Wilford Brimley,The Thing ,258078,English,USA,R,15000000,1982,163,8.2,2.35,23000,Horror,Mystery
17551,123,14000,302,0,127,904,Nolan Gerard Funk,343,41997790,Vin Diesel,Riddick ,125305,English,USA,R,38000000,2013,924,6.4,2.35,39000,Action,Sci-Fi
74,11,37,38,1,118,12,Claudia Stedelin,81,6482195,Gregory Scott Cummins,Switchback ,9740,English,USA,R,37000000,1997,12,6.4,2.35,389,Crime,Mystery
2120,49,1000,31,2,110,427,Usher Raymond,67,623374,Tom Skerritt,Texas Rangers ,4757,English,USA,PG-13,38000000,2001,569,5.2,2.35,474,Action,Adventure
15494,27,13000,118,0,90,260,Toby Jones,102,7871693,Bill Murray,City of Ember ,52908,English,USA,PG,55000000,2008,2000,6.5,2.35,0,Adventure,Family
427,0,378,546,31,144,15,Jeffrey W. Jenkins,405,16377274,Mike Howard,The Master ,105144,English,USA,R,32000000,2012,18,7.1,1.85,27000,Drama,
4900,2,4000,21,2,97,217,Ryan Cartwright,28,,Hayden Christensen,Virgin Territory ,6691,English,Italy,R,38000000,2007,476,4.8,1.85,366,Adventure,Comedy
5162,39,2000,86,0,130,534,Nicole Beharie,45,9589875,Dennis Quaid,The Express ,16673,English,USA,PG,40000000,2008,898,7.3,2.35,0,Biography,Drama
19974,5,17000,194,0,112,724,Maggie Siff,266,34912982,Chloë Grace Moretz,The 5th Wave ,55617,English,USA,PG-13,38000000,2016,1000,5.2,2.35,14000,Action,Adventure
